angle [deg]	counting rate [cps]
95.00	17.09
95.20	18.52
95.30	18.52
95.40	18.49
95.50	20.71
95.60	20.67
95.70	17.20
95.80	18.77
95.90	22.99
96.00	21.20
96.10	18.49
96.20	19.32
96.30	21.07
96.40	18.03
96.50	16.75
96.60	20.80
96.70	23.55
96.80	24.10
96.90	27.81
97.00	25.48
97.10	19.30
97.20	20.77
97.30	23.82
97.40	21.84
97.50	18.83
97.60	21.24
97.70	25.05
97.80	23.06
97.90	20.43
98.00	24.16
98.10	24.46
98.20	22.83
98.30	23.40
98.40	20.63
98.50	20.05
98.60	21.24
98.70	18.96
98.80	20.03
98.90	22.88
99.00	24.06
99.10	24.51
99.20	22.73
99.30	21.65
99.40	19.96
99.50	20.74
99.60	23.52
99.70	21.62
99.80	22.05
99.90	21.58
100.00	21.33
100.10	24.08
100.20	30.26
100.30	30.24
100.40	31.58
100.50	42.33
100.60	45.29
100.70	63.05
100.80	111.87
100.90	176.11
101.00	237.25
101.10	310.74
101.20	368.56
101.30	414.65
101.40	452.50
101.50	466.52
101.60	441.50
101.70	383.64
101.80	345.95
101.90	301.27
102.00	267.98
102.10	221.07
102.20	148.30
102.30	103.32
102.40	85.45
102.50	71.52
102.60	50.38
102.70	39.16
102.80	33.65
102.90	27.32
103.00	27.60
103.10	26.99
103.20	23.92
103.30	24.57
103.40	26.25
103.50	25.75
103.60	20.04
103.70	17.53
103.80	21.81
103.90	21.00
104.00	21.06
104.10	23.14
104.20	22.33
104.30	22.30
104.40	21.74
104.50	23.41
104.60	26.23
104.70	26.09
104.80	24.81
104.90	23.02
105.00	0.00
