angle [deg]	counting rate [cps]
52.00	0.50
52.20	2.25
52.30	1.25
52.40	3.49
52.50	3.74
52.60	2.74
52.70	3.51
52.80	3.51
52.90	3.26
53.00	5.81
53.10	5.79
53.20	4.98
53.30	5.73
53.40	5.00
53.50	3.25
53.60	4.01
53.70	5.99
53.80	4.97
53.90	3.99
54.00	4.00
54.10	2.49
54.20	2.26
54.30	5.00
54.40	5.00
54.50	2.76
54.60	2.01
54.70	1.50
54.80	1.75
54.90	4.25
55.00	3.99
55.10	4.51
55.20	5.50
55.30	3.49
55.40	4.00
55.50	4.50
55.60	4.00
55.70	2.99
55.80	2.74
55.90	2.99
56.00	3.48
56.10	4.48
56.20	2.99
56.30	2.50
56.40	3.50
56.50	3.76
56.60	3.01
56.70	2.50
56.80	3.26
56.90	4.24
57.00	4.24
57.10	2.99
57.20	3.48
57.30	4.74
57.40	5.24
57.50	4.24
57.60	4.24
57.70	4.73
57.80	3.24
57.90	3.75
58.00	5.00
58.10	4.51
58.20	4.00
58.30	4.25
58.40	2.99
58.50	2.00
58.60	2.25
58.70	3.74
58.80	5.50
58.90	6.01
59.00	6.00
59.10	4.50
59.20	6.29
59.30	6.78
59.40	5.24
59.50	4.76
59.60	4.24
59.70	5.49
59.80	5.03
59.90	6.27
60.00	8.26
60.10	10.49
60.20	13.70
60.30	17.57
60.40	19.12
60.50	18.50
60.60	22.97
60.70	25.79
60.80	24.77
60.90	25.09
61.00	24.29
61.10	25.46
61.20	30.02
61.30	28.45
61.40	30.95
61.50	37.02
61.60	37.54
61.70	40.66
61.80	35.22
61.90	24.80
62.00	17.23
62.10	10.74
62.20	7.47
62.30	5.99
62.40	5.25
62.50	3.74
62.60	4.49
62.70	5.00
62.80	4.25
62.90	4.99
63.00	4.74
63.10	4.72
63.20	7.00
63.30	6.01
63.40	4.25
63.50	4.01
63.60	4.50
63.70	5.24
63.80	5.50
63.90	4.01
64.00	4.50
64.10	5.00
64.20	5.26
64.30	5.76
64.40	4.49
64.50	7.97
64.60	7.22
64.70	5.49
64.80	6.25
64.90	4.27
65.00	5.26
65.10	5.99
65.20	5.52
65.30	5.28
65.40	3.50
65.50	5.51
65.60	7.52
65.70	5.76
65.80	3.25
65.90	2.49
66.00	4.24
66.10	3.50
66.20	4.49
66.30	9.24
66.40	9.51
66.50	7.98
66.60	8.74
66.70	7.75
66.80	10.77
66.90	13.57
67.00	15.54
67.10	24.95
67.20	35.30
67.30	45.86
67.40	55.11
67.50	70.17
67.60	84.87
67.70	90.30
67.80	100.69
67.90	112.51
68.00	117.44
68.10	128.73
68.20	158.17
68.30	181.08
68.40	196.42
68.50	213.05
68.60	236.71
68.70	217.55
68.80	158.53
68.90	118.31
69.00	78.86
69.10	42.97
69.20	22.56
69.30	12.75
69.40	8.03
69.50	8.49
69.60	7.25
69.70	6.00
69.80	5.01
69.90	4.49
70.00	6.48
70.10	6.49
70.20	4.74
70.30	4.25
70.40	4.51
70.50	5.25
70.60	4.49
70.70	3.26
70.80	4.00
70.90	5.23
71.00	4.49
71.10	3.99
71.20	2.98
71.30	2.24
71.40	3.99
71.50	4.76
71.60	6.50
71.70	6.75
71.80	3.51
71.90	2.99
72.00	4.24
72.10	4.24
72.20	4.50
72.30	4.25
72.40	4.50
72.50	5.01
72.60	5.26
72.70	3.51
72.80	2.49
72.90	3.48
73.00	2.74
73.10	2.50
73.20	1.75
73.30	3.26
73.40	6.78
73.50	6.78
73.60	4.75
73.70	3.23
73.80	3.23
73.90	3.24
74.00	2.74
74.10	3.74
74.20	4.50
74.30	3.49
74.40	2.99
74.50	2.49
74.60	2.99
74.70	4.48
74.80	4.98
74.90	5.48
75.00	5.50
75.10	5.00
75.20	5.00
