angle [deg]	counting rate [cps]
27.00	9.46
27.20	14.71
27.30	12.21
27.40	11.96
27.50	14.23
27.60	16.29
27.70	14.79
27.80	13.79
27.90	14.05
28.00	13.04
28.10	13.56
28.20	14.29
28.30	13.24
28.40	13.46
28.50	13.24
28.60	10.76
28.70	12.46
28.80	15.69
28.90	16.22
29.00	15.03
29.10	16.56
29.20	18.52
29.30	17.50
29.40	20.52
29.50	40.68
29.60	65.03
29.70	68.10
29.80	77.70
29.90	102.37
30.00	116.03
30.10	117.45
30.20	117.25
30.30	121.49
30.40	114.24
30.50	85.65
30.60	57.81
30.70	40.62
30.80	29.64
30.90	25.32
31.00	22.70
31.10	21.73
31.20	22.45
31.30	21.99
31.40	17.80
31.50	14.96
31.60	17.94
31.70	18.00
31.80	17.47
31.90	14.69
32.00	11.21
32.10	15.94
32.20	17.26
32.30	17.77
32.40	27.75
32.50	36.90
32.60	48.25
32.70	74.40
32.80	128.20
32.90	232.29
33.00	331.30
33.10	389.38
33.20	449.73
33.30	499.57
33.40	520.40
33.50	502.07
33.60	415.32
33.70	294.05
33.80	181.54
33.90	93.42
34.00	50.27
34.10	36.20
34.20	30.50
34.30	24.82
34.40	16.93
34.50	10.89
34.60	11.01
34.70	14.49
34.80	15.27
34.90	13.54
35.00	12.73
35.10	11.70
35.20	12.21
35.30	15.10
35.40	14.91
35.50	14.03
35.60	12.24
35.70	12.54
35.80	13.05
35.90	12.53
36.00	10.26
36.10	10.21
36.20	13.95
36.30	13.22
36.40	9.25
36.50	10.24
36.60	12.99
36.70	8.99
36.80	9.73
36.90	11.49
37.00	11.21
37.10	12.95
37.20	11.98
37.30	10.49
37.40	10.52
37.50	8.76
37.60	7.01
37.70	11.00
37.80	10.99
37.90	10.73
38.00	0.00
