angle [deg]	counting rate [cps]
13.00	2.19
13.20	2.69
13.30	2.89
13.40	2.59
13.50	2.49
13.60	1.89
13.70	2.19
13.80	2.60
13.90	1.99
14.00	1.40
14.10	2.00
14.20	2.49
14.30	2.30
14.40	1.70
14.50	2.29
14.60	2.79
14.70	2.19
14.80	2.39
14.90	2.10
15.00	1.60
15.10	2.10
15.20	2.50
15.30	1.90
15.40	2.10
15.50	2.70
15.60	1.69
15.70	1.19
15.80	2.19
15.90	2.00
16.00	1.50
16.10	2.00
16.20	2.19
16.30	2.09
16.40	2.79
16.50	2.60
16.60	1.70
16.70	1.79
16.80	1.70
16.90	2.60
17.00	3.19
17.10	3.40
17.20	2.99
17.30	2.49
17.40	3.50
17.50	3.20
17.60	2.70
17.70	2.90
17.80	2.70
17.90	3.00
18.00	3.10
18.10	2.49
18.20	2.49
18.30	2.80
18.40	2.80
18.50	2.69
18.60	3.00
18.70	3.00
18.80	2.89
18.90	3.49
19.00	3.39
19.10	3.69
19.20	4.39
19.30	5.49
19.40	6.80
19.50	6.40
19.60	6.29
19.70	6.68
19.80	7.79
19.90	10.19
20.00	11.90
20.10	12.42
20.20	14.11
20.30	16.42
20.40	14.84
20.50	15.35
20.60	19.39
20.70	20.58
20.80	18.72
20.90	21.43
21.00	26.07
21.10	25.04
21.20	27.80
21.30	31.40
21.40	30.84
21.50	30.51
21.60	29.92
21.70	30.50
21.80	30.43
21.90	33.28
22.00	36.48
22.10	33.29
22.20	32.57
22.30	38.07
22.40	39.65
22.50	38.92
22.60	39.14
22.70	37.11
22.80	40.42
22.90	45.41
23.00	44.17
23.10	42.26
23.20	44.14
23.30	44.42
23.40	46.85
23.50	49.87
23.60	48.42
23.70	49.22
23.80	51.16
23.90	48.67
24.00	47.35
24.10	47.11
24.20	47.49
24.30	48.30
24.40	46.73
24.50	50.54
24.60	52.66
24.70	49.49
24.80	50.26
24.90	52.73
25.00	54.41
25.10	55.67
25.20	55.63
25.30	55.89
25.40	53.88
25.50	54.35
25.60	55.26
25.70	52.42
25.80	52.68
25.90	54.41
26.00	56.42
26.10	59.02
26.20	59.54
26.30	56.83
26.40	55.13
26.50	54.76
26.60	54.39
26.70	54.93
26.80	55.70
26.90	58.61
27.00	59.00
27.10	56.60
27.20	60.17
27.30	61.32
27.40	59.51
27.50	61.63
27.60	62.41
27.70	60.02
27.80	61.32
27.90	60.54
28.00	57.79
28.10	59.05
28.20	60.68
28.30	61.57
28.40	56.47
28.50	57.13
28.60	60.78
28.70	58.38
28.80	55.89
28.90	51.43
29.00	51.86
29.10	53.77
29.20	57.67
29.30	57.76
29.40	53.73
29.50	56.17
29.60	55.31
29.70	52.13
29.80	52.85
29.90	57.11
30.00	64.50
