Model,DPO2012,,,,,,
Firmware Version,1.39,,,,,,
,,,,,,,
Point Format,Y,,,,,,
Horizontal Units,S,,,,,,
Horizontal Scale,4,,,,,,
Sample Interval,0.00768049,,,,,,
Filter Frequency,14,,,,,,
Record Length,5200,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,,
Probe Attenuation,1,,1,,,,
Vertical Units,V,,V,,,,
Vertical Offset,0,,0,,,,
Vertical Scale,0.1,,5,,,,
Label,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,,
-2.00E+01,-0.184,-0.192,-12.4,-12.6,,-2.00E+01,-0.184
-2.00E+01,-0.184,-0.172,-12.4,-12.2,,-2.00E+01,-0.184
-2.00E+01,-0.184,-0.192,-12.4,-12.6,,-2.00E+01,-0.184
-2.00E+01,-0.184,-0.172,-12.4,-12.2,,-2.00E+01,-0.184
-2.00E+01,-0.184,-0.196,-12.4,-12.6,,-2.00E+01,-0.184
-2.00E+01,-0.184,-0.172,-12.4,-12.2,,-2.00E+01,-0.184
-2.00E+01,-0.184,-0.192,-12.4,-12.6,,-2.00E+01,-0.184
-1.99E+01,-0.184,-0.172,-12.4,-12.2,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.192,-12.4,-12.6,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.172,-12.4,-12.2,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.192,-12.4,-12.6,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.176,-12.4,-12.2,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.192,-12.4,-12.6,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.176,-12.4,-12.2,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.192,-12.6,-12.8,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.176,-12.6,-12.2,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.192,-12.6,-12.8,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.176,-12.6,-12.4,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.192,-12.6,-12.8,,-1.99E+01,-0.184
-1.99E+01,-0.184,-0.176,-12.6,-12.4,,-1.99E+01,-0.184
-1.98E+01,-0.184,-0.192,-12.6,-12.8,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.172,-12.6,-12.4,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.192,-12.6,-12.8,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.172,-12.6,-12.4,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.196,-12.6,-12.8,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.172,-12.6,-12.4,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.2,-12.6,-12.8,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.172,-12.6,-12.4,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.192,-12.6,-12.8,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.172,-12.6,-12.4,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.196,-12.6,-12.8,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.176,-12.6,-12.4,,-1.98E+01,-0.184
-1.98E+01,-0.184,-0.192,-12.6,-12.8,,-1.98E+01,-0.184
-1.97E+01,-0.184,-0.176,-12.6,-12.4,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.196,-12.6,-12.8,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.176,-12.6,-12.4,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.192,-12.6,-13,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.176,-12.6,-12.4,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.192,-12.6,-13,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.18,-12.6,-12.6,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.192,-12.8,-13,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.18,-12.8,-12.6,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.196,-12.8,-13,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.176,-12.8,-12.6,,-1.97E+01,-0.184
-1.97E+01,-0.184,-0.196,-12.8,-13,,-1.97E+01,-0.184
-1.97E+01,-0.188,-0.172,-12.8,-12.6,,-1.97E+01,-0.188
-1.96E+01,-0.188,-0.2,-12.8,-13,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.18,-12.8,-12.6,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.196,-12.8,-13,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.176,-12.8,-12.6,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.196,-12.8,-13,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.18,-12.8,-12.6,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.196,-12.8,-13,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.18,-12.8,-12.6,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.196,-12.8,-13,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.18,-12.8,-12.6,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.196,-12.8,-13,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.18,-12.8,-12.6,,-1.96E+01,-0.188
-1.96E+01,-0.188,-0.196,-12.8,-13,,-1.96E+01,-0.188
-1.95E+01,-0.188,-0.18,-12.8,-12.6,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.196,-12.8,-13,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.18,-12.8,-12.6,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.196,-12.8,-13,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.18,-12.8,-12.6,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.196,-12.8,-13.2,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.172,-12.8,-12.6,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.2,-12.8,-13.2,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.18,-12.8,-12.6,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.2,-12.8,-13.2,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.18,-12.8,-12.6,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.196,-12.8,-13.2,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.176,-12.8,-12.6,,-1.95E+01,-0.188
-1.94E+01,-0.188,-0.2,-12.8,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-12.8,-12.6,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.6,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.6,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.8,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.8,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.184,-13,-12.8,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.176,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.4,,-1.93E+01,-0.188
-1.93E+01,-0.192,-0.184,-13.2,-12.8,,-1.93E+01,-0.192
-1.93E+01,-0.192,-0.2,-13.2,-13.4,,-1.93E+01,-0.192
-1.93E+01,-0.192,-0.184,-13.2,-13,,-1.93E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.184,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.184,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.184,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.18,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.18,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.204,-13.2,-13.4,,-1.92E+01,-0.192
