Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,-0.204,,-21,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0000e+01,-0.904,-0.92,-14.2,-14.6
-1.9992e+01,-0.904,-0.896,-14.2,-14
-1.9985e+01,-0.904,-0.92,-14.2,-14.6
-1.9977e+01,-0.904,-0.888,-14.2,-14
-1.9969e+01,-0.904,-0.912,-14.2,-14.6
-1.9962e+01,-0.904,-0.896,-14.2,-14
-1.9954e+01,-0.904,-0.92,-14.4,-14.6
-1.9946e+01,-0.904,-0.888,-14.4,-14
-1.9939e+01,-0.904,-0.912,-14.4,-14.6
-1.9931e+01,-0.904,-0.888,-14.4,-14
-1.9923e+01,-0.896,-0.912,-14.4,-14.6
-1.9916e+01,-0.896,-0.888,-14.4,-14
-1.9908e+01,-0.896,-0.904,-14.4,-14.6
-1.9900e+01,-0.896,-0.888,-14.4,-14
-1.9892e+01,-0.896,-0.904,-14.4,-14.6
-1.9885e+01,-0.896,-0.888,-14.4,-14.2
-1.9877e+01,-0.896,-0.904,-14.2,-14.6
-1.9869e+01,-0.896,-0.888,-12.8,-14.2
-1.9862e+01,-0.896,-0.904,-8.2,-14.6
-1.9854e+01,-0.888,-0.872,-1.6,5.4
-1.9846e+01,-0.888,-1.24,3.4,-14.6
-1.9839e+01,-0.88,-0.864,5.2,5.4
-1.9831e+01,-0.872,-0.896,5.4,5.4
-1.9823e+01,-0.864,-0.848,5.4,5.4
-1.9816e+01,-0.848,-0.88,5.4,5.4
-1.9808e+01,-0.84,-0.824,5.4,5.4
-1.9800e+01,-0.832,-0.864,5.4,5.4
-1.9793e+01,-0.824,-0.808,5.4,5.4
-1.9785e+01,-0.816,-0.84,5.4,5.4
-1.9777e+01,-0.808,-0.784,5.4,5.4
-1.9770e+01,-0.8,-0.824,5.4,5.4
-1.9762e+01,-0.784,-0.768,5.4,5.4
-1.9754e+01,-0.784,-0.808,5.4,5.4
-1.9747e+01,-0.776,-0.76,5.4,5.4
-1.9739e+01,-0.768,-0.784,5.4,5.4
-1.9731e+01,-0.76,-0.744,5.4,5.4
-1.9724e+01,-0.752,-0.776,5.4,5.4
-1.9716e+01,-0.744,-0.728,5.4,5.4
-1.9708e+01,-0.736,-0.752,5.4,5.4
-1.9700e+01,-0.728,-0.712,5.4,5.4
-1.9693e+01,-0.72,-0.744,5.4,5.4
-1.9685e+01,-0.712,-0.696,5.4,5.4
-1.9677e+01,-0.704,-0.728,5.4,5.4
-1.9670e+01,-0.696,-0.688,5.4,5.4
-1.9662e+01,-0.696,-0.712,5.4,5.4
-1.9654e+01,-0.688,-0.664,5.4,5.4
-1.9647e+01,-0.68,-0.704,5.4,5.4
-1.9639e+01,-0.672,-0.664,5.4,5.4
-1.9631e+01,-0.664,-0.688,5.4,5.4
-1.9624e+01,-0.664,-0.648,5.4,5.4
-1.9616e+01,-0.656,-0.68,5.4,5.2
-1.9608e+01,-0.648,-0.64,5.4,5.4
-1.9601e+01,-0.648,-0.664,5.4,5.2
-1.9593e+01,-0.64,-0.632,5.4,5.4
-1.9585e+01,-0.64,-0.656,5.4,5.2
-1.9578e+01,-0.632,-0.624,5.4,5.4
-1.9570e+01,-0.632,-0.648,5.4,5.2
-1.9562e+01,-0.624,-0.616,5.4,5.4
-1.9555e+01,-0.624,-0.64,5.4,5.2
-1.9547e+01,-0.616,-0.608,5.4,5.4
-1.9539e+01,-0.616,-0.632,5.4,5.2
-1.9531e+01,-0.608,-0.6,5.4,5.4
-1.9524e+01,-0.608,-0.624,5.4,5.2
-1.9516e+01,-0.608,-0.592,5.4,5.4
-1.9508e+01,-0.6,-0.616,5.4,5.2
-1.9501e+01,-0.6,-0.592,5.4,5.4
-1.9493e+01,-0.6,-0.608,5.4,5.2
-1.9485e+01,-0.6,-0.584,5.4,5.4
-1.9478e+01,-0.592,-0.608,5.4,5.2
-1.9470e+01,-0.592,-0.584,5.4,5.4
-1.9462e+01,-0.592,-0.608,5.4,5.2
-1.9455e+01,-0.592,-0.576,5.4,5.4
-1.9447e+01,-0.592,-0.6,5.4,5.2
-1.9439e+01,-0.592,-0.576,5.4,5.4
-1.9432e+01,-0.592,-0.6,5.4,5.2
-1.9424e+01,-0.592,-0.576,5.4,5.4
-1.9416e+01,-0.592,-0.6,5.4,5.2
-1.9409e+01,-0.592,-0.576,5.4,5.4
-1.9401e+01,-0.592,-0.6,5.4,5.2
-1.9393e+01,-0.592,-0.584,5.4,5.4
-1.9386e+01,-0.592,-0.6,5.4,5.2
-1.9378e+01,-0.592,-0.584,5.4,5.4
-1.9370e+01,-0.592,-0.6,5.4,5
-1.9363e+01,-0.6,-0.584,5.4,5.4
-1.9355e+01,-0.6,-0.608,5.4,5
-1.9347e+01,-0.6,-0.592,5.4,5.4
-1.9339e+01,-0.6,-0.608,5.4,5
-1.9332e+01,-0.6,-0.592,5.2,5.4
-1.9324e+01,-0.608,-0.616,5.2,5
-1.9316e+01,-0.608,-0.592,5.2,5.4
-1.9309e+01,-0.608,-0.616,5.2,5
-1.9301e+01,-0.608,-0.6,5.2,5.4
-1.9293e+01,-0.616,-0.624,5.2,5
-1.9286e+01,-0.616,-0.6,5.2,5.4
-1.9278e+01,-0.616,-0.632,5.2,5
-1.9270e+01,-0.624,-0.608,5.2,5.4
-1.9263e+01,-0.624,-0.632,5.2,5
-1.9255e+01,-0.624,-0.616,5.2,5.4
-1.9247e+01,-0.632,-0.64,5.2,5
-1.9240e+01,-0.632,-0.616,5.2,5.4
-1.9232e+01,-0.632,-0.64,5.2,5
-1.9224e+01,-0.632,-0.624,5.2,5.4
-1.9217e+01,-0.64,-0.648,5.2,5
-1.9209e+01,-0.64,-0.624,5.2,5.4
-1.9201e+01,-0.64,-0.648,5.2,5
-1.9194e+01,-0.64,-0.632,5.2,5.4
-1.9186e+01,-0.64,-0.656,5.2,4.8
-1.9178e+01,-0.648,-0.632,5.2,5.4
-1.9171e+01,-0.648,-0.656,5.2,4.8
-1.9163e+01,-0.648,-0.632,5.2,5.4
-1.9155e+01,-0.648,-0.664,5.2,4.8
