Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.00E+01,-0.728,-0.744,-8,-8.2
-2.00E+01,-0.728,-0.712,-8,-7.8
-2.00E+01,-0.72,-0.736,-8,-8.2
-2.00E+01,-0.72,-0.712,-8,-7.8
-2.00E+01,-0.72,-0.736,-8,-8.2
-2.00E+01,-0.72,-0.704,-8,-7.8
-2.00E+01,-0.712,-0.736,-8,-8.2
-1.99E+01,-0.712,-0.704,-8,-7.8
-1.99E+01,-0.712,-0.72,-8,-8.2
-1.99E+01,-0.712,-0.696,-8,-7.8
-1.99E+01,-0.704,-0.72,-8,-8.2
-1.99E+01,-0.704,-0.696,-8,-7.8
-1.99E+01,-0.704,-0.712,-8,-8.2
-1.99E+01,-0.696,-0.688,-8,-7.8
-1.99E+01,-0.696,-0.712,-8,-8.2
-1.99E+01,-0.696,-0.688,-8,-7.8
-1.99E+01,-0.696,-0.712,-8,-8.2
-1.99E+01,-0.688,-0.68,-8,-7.8
-1.99E+01,-0.688,-0.704,-8,-8.2
-1.99E+01,-0.688,-0.68,-8,-7.8
-1.98E+01,-0.688,-0.696,-8,-8.4
-1.98E+01,-0.688,-0.672,-8,-7.8
-1.98E+01,-0.68,-0.696,-8,-8.4
-1.98E+01,-0.68,-0.664,-8,-7.8
-1.98E+01,-0.68,-0.696,-8,-8.4
-1.98E+01,-0.68,-0.664,-8.2,-7.8
-1.98E+01,-0.672,-0.688,-8.2,-8.4
-1.98E+01,-0.672,-0.664,-8.2,-7.8
-1.98E+01,-0.672,-0.688,-8.2,-8.4
-1.98E+01,-0.672,-0.656,-8.2,-7.8
-1.98E+01,-0.672,-0.68,-8.2,-8.4
-1.98E+01,-0.664,-0.656,-8.2,-7.8
-1.98E+01,-0.664,-0.68,-8.2,-8.4
-1.97E+01,-0.664,-0.656,-8.2,-7.8
-1.97E+01,-0.664,-0.672,-8.2,-8.4
-1.97E+01,-0.664,-0.648,-8.2,-7.8
-1.97E+01,-0.656,-0.672,-8.2,-8.4
-1.97E+01,-0.656,-0.648,-8.2,-8
-1.97E+01,-0.656,-0.672,-8.2,-8.4
-1.97E+01,-0.656,-0.648,-8.2,-8
-1.97E+01,-0.656,-0.664,-8.2,-8.4
-1.97E+01,-0.648,-0.64,-8.2,-8
-1.97E+01,-0.648,-0.664,-8.2,-8.4
-1.97E+01,-0.648,-0.64,-8.2,-8
-1.97E+01,-0.648,-0.664,-8.2,-8.4
-1.97E+01,-0.648,-0.632,-8.2,-8
-1.96E+01,-0.648,-0.656,-8.2,-8.4
-1.96E+01,-0.648,-0.632,-8.2,-8
-1.96E+01,-0.64,-0.656,-8.2,-8.4
-1.96E+01,-0.64,-0.632,-8.2,-8
-1.96E+01,-0.64,-0.656,-8.2,-8.4
-1.96E+01,-0.64,-0.632,-8.2,-8
-1.96E+01,-0.64,-0.648,-8.2,-8.4
-1.96E+01,-0.64,-0.624,-8.2,-8
-1.96E+01,-0.64,-0.648,-8.2,-8.4
-1.96E+01,-0.632,-0.624,-8.2,-8
-1.96E+01,-0.632,-0.64,-8.2,-8.4
-1.96E+01,-0.632,-0.624,-8.2,-8
-1.96E+01,-0.632,-0.64,-8.2,-8.4
-1.95E+01,-0.632,-0.624,-8.2,-8
-1.95E+01,-0.632,-0.64,-8.2,-8.4
-1.95E+01,-0.632,-0.624,-8.2,-8
-1.95E+01,-0.632,-0.64,-8.2,-8.4
-1.95E+01,-0.624,-0.616,-8.2,-8
-1.95E+01,-0.624,-0.64,-8.2,-8.4
-1.95E+01,-0.624,-0.616,-8.2,-8
-1.95E+01,-0.624,-0.64,-8.2,-8.4
-1.95E+01,-0.624,-0.608,-8.2,-8
-1.95E+01,-0.624,-0.64,-8.2,-8.6
-1.95E+01,-0.624,-0.608,-8.2,-8
-1.95E+01,-0.624,-0.632,-8.2,-8.6
-1.95E+01,-0.624,-0.608,-8.2,-8
-1.94E+01,-0.616,-0.632,-8.2,-8.6
-1.94E+01,-0.616,-0.608,-8.2,-8
-1.94E+01,-0.616,-0.624,-8.2,-8.6
-1.94E+01,-0.616,-0.608,-8.2,-8
-1.94E+01,-0.616,-0.624,-8.2,-8.6
-1.94E+01,-0.616,-0.6,-8.2,-8
-1.94E+01,-0.616,-0.624,-8.2,-8.6
-1.94E+01,-0.616,-0.6,-8.4,-8
-1.94E+01,-0.608,-0.624,-8.4,-8.6
-1.94E+01,-0.608,-0.6,-8.4,-8
-1.94E+01,-0.608,-0.624,-8.4,-8.6
-1.94E+01,-0.608,-0.6,-8.4,-8
-1.94E+01,-0.608,-0.616,-8.4,-8.6
-1.93E+01,-0.608,-0.6,-8.4,-8
-1.93E+01,-0.608,-0.616,-8.4,-8.6
-1.93E+01,-0.608,-0.592,-8.4,-8.2
-1.93E+01,-0.608,-0.624,-8.4,-8.6
-1.93E+01,-0.608,-0.592,-8.4,-8.2
-1.93E+01,-0.608,-0.616,-8.4,-8.6
-1.93E+01,-0.608,-0.592,-8.4,-8.2
-1.93E+01,-0.6,-0.616,-8.4,-8.6
-1.93E+01,-0.6,-0.592,-8.4,-8.2
-1.93E+01,-0.6,-0.616,-8.4,-8.6
-1.93E+01,-0.6,-0.592,-8.4,-8.2
-1.93E+01,-0.6,-0.616,-8.4,-8.6
-1.93E+01,-0.6,-0.592,-8.4,-8.2
-1.92E+01,-0.6,-0.608,-8.4,-8.6
-1.92E+01,-0.6,-0.592,-8.4,-8.2
-1.92E+01,-0.6,-0.608,-8.4,-8.6
-1.92E+01,-0.6,-0.592,-8.4,-8.2
-1.92E+01,-0.6,-0.608,-8.4,-8.6
-1.92E+01,-0.6,-0.584,-8.4,-8.2
-1.92E+01,-0.6,-0.608,-8.4,-8.6
-1.92E+01,-0.6,-0.584,-8.4,-8.2
-1.92E+01,-0.592,-0.608,-8.4,-8.6
-1.92E+01,-0.592,-0.584,-8.4,-8.2
-1.92E+01,-0.592,-0.608,-8.4,-8.6
-1.92E+01,-0.592,-0.576,-8.4,-8.2
-1.92E+01,-0.592,-0.608,-8.4,-8.6
-1.91E+01,-0.592,-0.584,-8.4,-8.2
-1.91E+01,-0.592,-0.6,-8.4,-8.6
-1.91E+01,-0.592,-0.584,-8.4,-8.2
-1.91E+01,-0.592,-0.6,-8.4,-8.6
-1.91E+01,-0.592,-0.584,-8.4,-8.2
-1.91E+01,-0.592,-0.6,-8.4,-8.6
-1.91E+01,-0.592,-0.584,-8.4,-8.2
-1.91E+01,-0.592,-0.6,-8.4,-8.6
-1.91E+01,-0.592,-0.576,-8.4,-8.2
-1.91E+01,-0.592,-0.6,-8.4,-8.6
-1.91E+01,-0.592,-0.576,-8.4,-8.2
-1.91E+01,-0.592,-0.6,-8.4,-8.8
-1.91E+01,-0.584,-0.576,-8.4,-8.2
-1.90E+01,-0.584,-0.6,-8.4,-8.8
-1.90E+01,-0.584,-0.576,-8.6,-8.2
-1.90E+01,-0.584,-0.6,-8.6,-8.8
-1.90E+01,-0.584,-0.576,-8.6,-8.2
-1.90E+01,-0.584,-0.6,-8.6,-8.8
-1.90E+01,-0.584,-0.576,-8.6,-8.2
-1.90E+01,-0.584,-0.6,-8.6,-8.8
-1.90E+01,-0.584,-0.576,-8.6,-8.2
-1.90E+01,-0.584,-0.592,-8.6,-8.8
-1.90E+01,-0.584,-0.568,-8.6,-8.2
-1.90E+01,-0.584,-0.6,-8.6,-8.8
-1.90E+01,-0.584,-0.576,-8.6,-8.2
-1.90E+01,-0.584,-0.592,-8.6,-8.8
-1.89E+01,-0.584,-0.576,-8.6,-8.2
-1.89E+01,-0.584,-0.592,-8.6,-8.8
