Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0000e+01,-1.56,-1.76,-20,-28.4
-1.9992e+01,-1.552,-1.536,-18.2,-17.4
-1.9985e+01,-1.544,-1.576,-17.6,-17.8
-1.9977e+01,-1.536,-1.512,-17.6,-17.4
-1.9969e+01,-1.52,-1.552,-17.8,-17.8
-1.9962e+01,-1.512,-1.488,-17.8,-17.4
-1.9954e+01,-1.496,-1.528,-17.8,-17.8
-1.9946e+01,-1.48,-1.464,-17.8,-17.6
-1.9939e+01,-1.472,-1.504,-17.8,-18
-1.9931e+01,-1.456,-1.44,-17.8,-17.4
-1.9923e+01,-1.448,-1.48,-17.8,-18
-1.9916e+01,-1.432,-1.416,-17.8,-17.6
-1.9908e+01,-1.424,-1.456,-17.8,-18
-1.9900e+01,-1.416,-1.392,-17.8,-17.6
-1.9892e+01,-1.4,-1.432,-17.8,-18
-1.9885e+01,-1.392,-1.376,-17.8,-17.6
-1.9877e+01,-1.376,-1.408,-17.8,-18
-1.9869e+01,-1.368,-1.352,-17.8,-17.6
-1.9862e+01,-1.36,-1.392,-17.8,-18
-1.9854e+01,-1.352,-1.328,-17.8,-17.6
-1.9846e+01,-1.336,-1.368,-17.8,-18
-1.9839e+01,-1.328,-1.304,-17.8,-17.6
-1.9831e+01,-1.32,-1.352,-17.8,-18
-1.9823e+01,-1.304,-1.288,-17.8,-17.6
-1.9816e+01,-1.296,-1.328,-17.8,-18
-1.9808e+01,-1.288,-1.272,-17.8,-17.6
-1.9800e+01,-1.28,-1.304,-17.8,-18
-1.9793e+01,-1.272,-1.248,-17.8,-17.6
-1.9785e+01,-1.256,-1.288,-17.8,-18
-1.9777e+01,-1.248,-1.232,-17.8,-17.6
-1.9770e+01,-1.24,-1.264,-17.8,-18
-1.9762e+01,-1.232,-1.216,-17.8,-17.6
-1.9754e+01,-1.224,-1.248,-17.8,-18
-1.9747e+01,-1.216,-1.2,-17.8,-17.6
-1.9739e+01,-1.208,-1.232,-17.8,-18
-1.9731e+01,-1.2,-1.184,-17.8,-17.6
-1.9724e+01,-1.192,-1.216,-17.8,-18
-1.9716e+01,-1.184,-1.168,-17.8,-17.6
-1.9708e+01,-1.176,-1.2,-17.8,-18
-1.9700e+01,-1.168,-1.152,-17.8,-17.6
-1.9693e+01,-1.16,-1.184,-17.8,-18
-1.9685e+01,-1.152,-1.136,-17.8,-17.6
-1.9677e+01,-1.144,-1.168,-17.8,-18
-1.9670e+01,-1.136,-1.12,-17.8,-17.6
-1.9662e+01,-1.128,-1.152,-17.8,-18
-1.9654e+01,-1.12,-1.104,-17.8,-17.6
-1.9647e+01,-1.112,-1.136,-17.8,-18
-1.9639e+01,-1.104,-1.088,-17.8,-17.6
-1.9631e+01,-1.096,-1.12,-17.8,-18
-1.9624e+01,-1.088,-1.072,-17.8,-17.6
-1.9616e+01,-1.08,-1.112,-17.8,-18.2
-1.9608e+01,-1.08,-1.064,-17.8,-17.6
-1.9601e+01,-1.072,-1.096,-17.8,-18
-1.9593e+01,-1.064,-1.048,-17.8,-17.8
-1.9585e+01,-1.056,-1.08,-17.8,-18.2
-1.9578e+01,-1.048,-1.032,-18,-17.8
-1.9570e+01,-1.04,-1.064,-18,-18.2
-1.9562e+01,-1.04,-1.024,-18,-17.8
-1.9555e+01,-1.032,-1.048,-18,-18.2
-1.9547e+01,-1.024,-1.008,-18,-17.8
-1.9539e+01,-1.016,-1.04,-18,-18.2
-1.9531e+01,-1.016,-1,-18,-17.8
-1.9524e+01,-1.008,-1.024,-18,-18.2
-1.9516e+01,-1,-0.984,-18,-17.8
-1.9508e+01,-0.992,-1.016,-18,-18.2
-1.9501e+01,-0.992,-0.976,-18,-17.8
-1.9493e+01,-0.984,-1,-18,-18.2
-1.9485e+01,-0.976,-0.968,-18,-17.8
-1.9478e+01,-0.976,-0.992,-18,-18.2
-1.9470e+01,-0.968,-0.952,-18,-17.8
-1.9462e+01,-0.96,-0.984,-18,-18.2
-1.9455e+01,-0.96,-0.944,-18,-17.8
-1.9447e+01,-0.952,-0.968,-18,-18.2
-1.9439e+01,-0.944,-0.936,-18,-17.8
-1.9432e+01,-0.944,-0.96,-18,-18.2
-1.9424e+01,-0.936,-0.92,-18,-17.8
-1.9416e+01,-0.928,-0.952,-18,-18.2
-1.9409e+01,-0.928,-0.912,-18,-17.8
-1.9401e+01,-0.92,-0.944,-18,-18.2
-1.9393e+01,-0.92,-0.904,-18,-17.8
-1.9386e+01,-0.912,-0.936,-18,-18.2
-1.9378e+01,-0.904,-0.896,-18,-17.8
-1.9370e+01,-0.904,-0.92,-18,-18.2
-1.9363e+01,-0.896,-0.888,-18,-17.8
-1.9355e+01,-0.896,-0.912,-18,-18.2
-1.9347e+01,-0.888,-0.88,-18,-17.8
-1.9339e+01,-0.888,-0.904,-18,-18.2
-1.9332e+01,-0.88,-0.872,-18,-17.8
-1.9324e+01,-0.88,-0.896,-18,-18.2
-1.9316e+01,-0.872,-0.864,-18,-17.8
-1.9309e+01,-0.872,-0.888,-18,-18.2
-1.9301e+01,-0.864,-0.856,-18,-17.8
-1.9293e+01,-0.864,-0.88,-18,-18.2
-1.9286e+01,-0.856,-0.848,-18,-17.8
-1.9278e+01,-0.856,-0.872,-18,-18.2
-1.9270e+01,-0.848,-0.84,-18,-17.8
-1.9263e+01,-0.848,-0.864,-18,-18.4
-1.9255e+01,-0.84,-0.832,-18,-17.8
-1.9247e+01,-0.84,-0.856,-18,-18.4
-1.9240e+01,-0.832,-0.824,-18,-18
-1.9232e+01,-0.832,-0.848,-18,-18.4
-1.9224e+01,-0.832,-0.816,-18,-18
-1.9217e+01,-0.824,-0.84,-18,-18.4
-1.9209e+01,-0.824,-0.808,-18.2,-18
-1.9201e+01,-0.816,-0.84,-18.2,-18.4
-1.9194e+01,-0.816,-0.808,-18.2,-18
-1.9186e+01,-0.808,-0.824,-18.2,-18.4
-1.9178e+01,-0.808,-0.8,-18.2,-18
-1.9171e+01,-0.808,-0.824,-18.2,-18.4
