,TIME,V(V),I(nA),NAME,T(K),type
1400,-9.25,-0.005814136748211742,0.006393986289012681,ice_water_forward_0000microA.CSV,278.0,default
1401,-9.24,-0.005812258407416672,0.006390048979425336,ice_water_forward_0000microA.CSV,278.0,default
1402,-9.23,-0.005808502225086717,0.006381731615776422,ice_water_forward_0000microA.CSV,278.0,default
1403,-9.22,-0.0058028691993132625,0.006368592991188609,ice_water_forward_0000microA.CSV,278.0,default
1404,-9.22,-0.005795352480203142,0.006351083840017877,ice_water_forward_0000microA.CSV,278.0,default
1405,-9.21,-0.005785962947978379,0.006329210325281874,ice_water_forward_0000microA.CSV,278.0,default
1406,-9.2,-0.005774703057266921,0.0063029801789153276,ice_water_forward_0000microA.CSV,278.0,default
1407,-9.19,-0.005761584103387855,0.006272402717660958,ice_water_forward_0000microA.CSV,278.0,default
1408,-9.19,-0.0057465922943609575,0.006237906159476483,ice_water_forward_0000microA.CSV,278.0,default
1409,-9.18,-0.00572974048123245,0.006198641380447646,ice_water_forward_0000microA.CSV,278.0,default
1410,-9.17,-0.005711033078152499,0.0061550686059102565,ice_water_forward_0000microA.CSV,278.0,default
1411,-9.16,-0.005690474981066184,0.006107203617528072,ice_water_forward_0000microA.CSV,278.0,default
1412,-9.16,-0.005668071563449122,0.006055063911292426,ice_water_forward_0000microA.CSV,278.0,default
1413,-9.15,-0.005643828671654697,0.005998668730780785,ice_water_forward_0000microA.CSV,278.0,default
1414,-9.14,-0.005617752619879906,0.005938485231635437,ice_water_forward_0000microA.CSV,278.0,default
1415,-9.13,-0.005589850184757372,0.0058736746952853455,ice_water_forward_0000microA.CSV,278.0,default
1416,-9.12,-0.005560128599581698,0.005804679242410699,ice_water_forward_0000microA.CSV,278.0,default
1417,-9.12,-0.005528595548178865,0.005730662181407026,ice_water_forward_0000microA.CSV,278.0,default
1418,-9.11,-0.005495259158427916,0.0056529581438495196,ice_water_forward_0000microA.CSV,278.0,default
1419,-9.1,-0.0054601279954447,0.005571596062794477,ice_water_forward_0000microA.CSV,278.0,default
1420,-9.09,-0.0054232110544379045,0.005486162640103655,ice_water_forward_0000microA.CSV,278.0,default
1421,-9.09,-0.00538451775324817,0.0053966927969794605,ice_water_forward_0000microA.CSV,278.0,default
1422,-9.08,-0.005344057924581412,0.005303223598780104,ice_water_forward_0000microA.CSV,278.0,default
1423,-9.07,-0.005301841807947984,0.00520579430984187,ice_water_forward_0000microA.CSV,278.0,default
1424,-9.06,-0.005257880041319739,0.005104029151160593,ice_water_forward_0000microA.CSV,278.0,default
1425,-9.06,-0.0052121753065588455,0.004998416328317919,ice_water_forward_0000microA.CSV,278.0,default
1426,-9.05,-0.005164756245890589,0.004889417686465053,ice_water_forward_0000microA.CSV,278.0,default
1427,-9.04,-0.005115616796845131,0.004777082050454974,ice_water_forward_0000microA.CSV,278.0,default
1428,-9.03,-0.005064777413264564,0.00466059915615262,ice_water_forward_0000microA.CSV,278.0,default
1429,-9.02,-0.0050122422077313634,0.004540022956177424,ice_water_forward_0000microA.CSV,278.0,default
1430,-9.02,-0.0049580328670339666,0.004415408254546018,ice_water_forward_0000microA.CSV,278.0,default
1431,-9.01,-0.004902162488095411,0.00428809148300538,ice_water_forward_0000microA.CSV,278.0,default
1432,-9.0,-0.004844644490179955,0.0041568539491168835,ice_water_forward_0000microA.CSV,278.0,default
1433,-8.99,-0.004785492604377824,0.004023068255115543,ice_water_forward_0000microA.CSV,278.0,default
1434,-8.99,-0.004724720862942897,0.0038854944339605808,ice_water_forward_0000microA.CSV,278.0,default
1435,-8.98,-0.004662343588497639,0.0037442032065217864,ice_water_forward_0000microA.CSV,278.0,default
1436,-8.97,-0.0045983753831197365,0.0035997126119285154,ice_water_forward_0000microA.CSV,278.0,default
1437,-8.96,-0.0045328311173249,0.0034520976602833977,ice_water_forward_0000microA.CSV,278.0,default
1438,-8.96,-0.004465725918960336,0.003301436510246211,ice_water_forward_0000microA.CSV,278.0,default
1439,-8.95,-0.004397075162023371,0.003147810516342845,ice_water_forward_0000microA.CSV,278.0,default
1440,-8.94,-0.0043268944554197076,0.0029917215727274737,ice_water_forward_0000microA.CSV,278.0,default
1441,-8.93,-0.004255199631675695,0.0028323958871643053,ice_water_forward_0000microA.CSV,278.0,default
1442,-8.92,-0.004182006735618923,0.002670370693963203,ice_water_forward_0000microA.CSV,278.0,default
1443,-8.92,-0.004107332013041371,0.00250574046690808,ice_water_forward_0000microA.CSV,278.0,default
1444,-8.91,-0.0040311918993591375,0.0023386030825345246,ice_water_forward_0000microA.CSV,278.0,default
1445,-8.9,-0.003953603008282681,0.002169059851629669,ice_water_forward_0000microA.CSV,278.0,default
1446,-8.89,-0.0038745821205112643,0.0019976616758201815,ice_water_forward_0000microA.CSV,278.0,default
1447,-8.89,-0.003794146172465132,0.0018236552471244537,ice_water_forward_0000microA.CSV,278.0,default
1448,-8.88,-0.003712312245068662,0.0016475697408317167,ice_water_forward_0000microA.CSV,278.0,default
1449,-8.87,-0.0036290975525975367,0.0014695205627562585,ice_water_forward_0000microA.CSV,278.0,default
1450,-8.86,-0.003544510509042108,0.0012892093616899852,ice_water_forward_0000microA.CSV,278.0,default
1451,-8.86,-0.0034585857935739346,0.0011076203038059653,ice_water_forward_0000microA.CSV,278.0,default
1452,-8.85,-0.0033713236837105633,0.0009248795343855768,ice_water_forward_0000microA.CSV,278.0,default
1453,-8.84,-0.0032827501237732335,0.0007411186001938216,ice_water_forward_0000microA.CSV,278.0,default
1454,-8.83,-0.003192882788778935,0.0005551648922093512,ice_water_forward_0000microA.CSV,278.0,default
1455,-8.82,-0.003101731073805203,0.0003680187081102632,ice_water_forward_0000microA.CSV,278.0,default
1456,-8.82,-0.0030093300088381465,0.00017982043785271952,ice_water_forward_0000microA.CSV,278.0,default
1457,-8.81,-0.002915688515044837,-9.286034241196596e-06,ice_water_forward_0000microA.CSV,278.0,default
1458,-8.8,-0.0028208161250901816,-0.00019915336051254216,ice_water_forward_0000microA.CSV,278.0,default
1459,-8.79,-0.0027247396299519937,-0.0003887673403343893,ice_water_forward_0000microA.CSV,278.0,default
1460,-8.79,-0.0026274769150910803,-0.0005792797594277924,ice_water_forward_0000microA.CSV,278.0,default
1461,-8.78,-0.0025290458732665526,-0.0007705313646710402,ice_water_forward_0000microA.CSV,278.0,default
1462,-8.77,-0.0024294643949901943,-0.0009619153429814295,ice_water_forward_0000microA.CSV,278.0,default
1463,-8.76,-0.0023287503591877565,-0.0011528504850993235,ice_water_forward_0000microA.CSV,278.0,default
1464,-8.76,-0.002226921624074056,-0.001343614099209984,ice_water_forward_0000microA.CSV,278.0,default
1465,-8.75,-0.0021239960182483112,-0.0015335882594293153,ice_water_forward_0000microA.CSV,278.0,default
1466,-8.74,-0.0020199913320156477,-0.0017234598398534686,ice_water_forward_0000microA.CSV,278.0,default
1467,-8.73,-0.0019149253089402658,-0.0019126339303234907,ice_water_forward_0000microA.CSV,278.0,default
1468,-8.73,-0.0018088156376352938,-0.002101376328731026,ice_water_forward_0000microA.CSV,278.0,default
1469,-8.72,-0.00170167994379387,-0.0022890598237692854,ice_water_forward_0000microA.CSV,278.0,default
1470,-8.71,-0.0015935357824655326,-0.002475054703205148,ice_water_forward_0000microA.CSV,278.0,default
1471,-8.7,-0.0014844006305815517,-0.0026596192800715916,ice_water_forward_0000microA.CSV,278.0,default
1472,-8.69,-0.001374291879732343,-0.002842146194409327,ice_water_forward_0000microA.CSV,278.0,default
1473,-8.69,-0.0012632268291996862,-0.003023304941151434,ice_water_forward_0000microA.CSV,278.0,default
1474,-8.68,-0.0011512226792459836,-0.0032020092173495507,ice_water_forward_0000microA.CSV,278.0,default
1475,-8.67,-0.0010382965246623777,-0.003378924717310038,ice_water_forward_0000microA.CSV,278.0,default
1476,-8.66,-0.0009244653485770951,-0.0035534364899211736,ice_water_forward_0000microA.CSV,278.0,default
1477,-8.66,-0.0008097460165249587,-0.003724928074945094,ice_water_forward_0000microA.CSV,278.0,default
1478,-8.65,-0.0006941552707785945,-0.0038931972156613357,ice_water_forward_0000microA.CSV,278.0,default
1479,-8.64,-0.0005777008023808942,-0.0040589021643659285,ice_water_forward_0000microA.CSV,278.0,default
1480,-8.63,-0.00046040739989243056,-0.004221421318509811,ice_water_forward_0000microA.CSV,278.0,default
1481,-8.63,-0.0003422913650106019,-0.00438096697536374,ice_water_forward_0000microA.CSV,278.0,default
1482,-8.62,-0.00022336885378584448,-0.004536889261001869,ice_water_forward_0000microA.CSV,278.0,default
1483,-8.61,-0.00010365587213237928,-0.004688566733186181,ice_water_forward_0000microA.CSV,278.0,default
1484,-8.6,1.683172840998373e-05,-0.0048357933065285245,ice_water_forward_0000microA.CSV,278.0,default
1485,-8.59,0.00013808660062375328,-0.004978361171939608,ice_water_forward_0000microA.CSV,278.0,default
1486,-8.59,0.0002600843259730586,-0.005117370563806715,ice_water_forward_0000microA.CSV,278.0,default
1487,-8.58,0.0003828012261453704,-0.005251752913264733,ice_water_forward_0000microA.CSV,278.0,default
1488,-8.57,0.0005062393691959013,-0.005381303872928409,ice_water_forward_0000microA.CSV,278.0,default
1489,-8.56,0.0006303748392848437,-0.0055058201269407425,ice_water_forward_0000microA.CSV,278.0,default
1490,-8.56,0.0007551928160197677,-0.005625099632293636,ice_water_forward_0000microA.CSV,278.0,default
1491,-8.55,0.0008806786545508391,-0.005738941864624184,ice_water_forward_0000microA.CSV,278.0,default
1492,-8.54,0.0010068178879977954,-0.005847148068121334,ice_water_forward_0000microA.CSV,278.0,default
1493,-8.53,0.0011335962296527484,-0.005949938806588217,ice_water_forward_0000microA.CSV,278.0,default
1494,-8.53,0.0012609995749636412,-0.006046257955304538,ice_water_forward_0000microA.CSV,278.0,default
1495,-8.52,0.00138901400330333,-0.006136359627039539,ice_water_forward_0000microA.CSV,278.0,default
1496,-8.51,0.00151762577952946,-0.00622005461360436,ice_water_forward_0000microA.CSV,278.0,default
