,TIME,V(V),I(nA),NAME,T(K),type
0,-20.0,-0.0682554598052475,-0.12929867556583194,room_temp_reverse_0.000nA.CSV,298.0,default
1,-19.992,-0.06825465980138735,-0.1292982518206001,room_temp_reverse_0.000nA.CSV,298.0,default
2,-19.985,-0.06825306001968469,-0.1292974045126681,room_temp_reverse_0.000nA.CSV,298.0,default
3,-19.977,-0.06825066091199297,-0.1292961340068722,room_temp_reverse_0.000nA.CSV,298.0,default
4,-19.969,-0.06824746315563861,-0.12929444919585623,room_temp_reverse_0.000nA.CSV,298.0,default
5,-19.962,-0.0682434676528771,-0.12929232465148838,room_temp_reverse_0.000nA.CSV,298.0,default
6,-19.954,-0.06823867553016894,-0.12928979577975,room_temp_reverse_0.000nA.CSV,298.0,default
7,-19.945999999999998,-0.06823308646808489,-0.129286829161856,room_temp_reverse_0.000nA.CSV,298.0,default
8,-19.939,-0.06822670203158976,-0.12928345221063262,room_temp_reverse_0.000nA.CSV,298.0,default
9,-19.930999999999997,-0.06821952566876374,-0.12927964909057094,room_temp_reverse_0.000nA.CSV,298.0,default
10,-19.923,-0.06821155937796293,-0.12927543864037408,room_temp_reverse_0.000nA.CSV,298.0,default
11,-19.916,-0.06820280537536366,-0.1292708053690278,room_temp_reverse_0.000nA.CSV,298.0,default
12,-19.908,-0.06819326609314456,-0.12926576845535795,room_temp_reverse_0.000nA.CSV,298.0,default
13,-19.9,-0.06818294417750047,-0.1292603216662383,room_temp_reverse_0.000nA.CSV,298.0,default
14,-19.892,-0.06817184248649104,-0.1292544672792796,room_temp_reverse_0.000nA.CSV,298.0,default
15,-19.885,-0.06815996408772645,-0.12924820773401893,room_temp_reverse_0.000nA.CSV,298.0,default
16,-19.877,-0.06814731225589377,-0.12924153670631292,room_temp_reverse_0.000nA.CSV,298.0,default
17,-19.869,-0.06813389047012691,-0.12923447418155568,room_temp_reverse_0.000nA.CSV,298.0,default
18,-19.862000000000002,-0.06811970241122385,-0.12922700579530996,room_temp_reverse_0.000nA.CSV,298.0,default
19,-19.854,-0.06810475195871471,-0.12921915183150018,room_temp_reverse_0.000nA.CSV,298.0,default
20,-19.846,-0.06808904318778468,-0.12921089821672951,room_temp_reverse_0.000nA.CSV,298.0,default
21,-19.839000000000002,-0.06807257869686406,-0.12920226551812894,room_temp_reverse_0.000nA.CSV,298.0,default
22,-19.831,-0.06805536293563783,-0.12919323993734294,room_temp_reverse_0.000nA.CSV,298.0,default
23,-19.823,-0.06803740220153659,-0.1291838423080604,room_temp_reverse_0.000nA.CSV,298.0,default
24,-19.816,-0.06801870130471355,-0.12917405908969537,room_temp_reverse_0.000nA.CSV,298.0,default
25,-19.808,-0.06799926523345448,-0.12916390244206694,room_temp_reverse_0.000nA.CSV,298.0,default
26,-19.8,-0.06797909915027785,-0.1291533762952566,room_temp_reverse_0.000nA.CSV,298.0,default
27,-19.793,-0.06795820838792117,-0.1291424846906382,room_temp_reverse_0.000nA.CSV,298.0,default
28,-19.785,-0.06793659844521935,-0.129131231775826,room_temp_reverse_0.000nA.CSV,298.0,default
29,-19.777,-0.06791427498287952,-0.12911962179951048,room_temp_reverse_0.000nA.CSV,298.0,default
30,-19.77,-0.06789124381915844,-0.1291076680287473,room_temp_reverse_0.000nA.CSV,298.0,default
31,-19.762,-0.06786751092544709,-0.1290953576671352,room_temp_reverse_0.000nA.CSV,298.0,default
32,-19.754,-0.06784308242176879,-0.12908271250530706,room_temp_reverse_0.000nA.CSV,298.0,default
33,-19.747,-0.06781796457219569,-0.12906971991359967,room_temp_reverse_0.000nA.CSV,298.0,default
34,-19.739,-0.0677921621109983,-0.12905640183835476,room_temp_reverse_0.000nA.CSV,298.0,default
35,-19.730999999999998,-0.06776568156928124,-0.1290427457944576,room_temp_reverse_0.000nA.CSV,298.0,default
36,-19.724,-0.06773853127016902,-0.12902877386152417,room_temp_reverse_0.000nA.CSV,298.0,default
37,-19.715999999999998,-0.06771071799254734,-0.1290144736763436,room_temp_reverse_0.000nA.CSV,298.0,default
38,-19.708,-0.06768224863530835,-0.12899985850642684,room_temp_reverse_0.000nA.CSV,298.0,default
39,-19.7,-0.06765313021235754,-0.1289849333188412,room_temp_reverse_0.000nA.CSV,298.0,default
40,-19.692999999999998,-0.06762336984757995,-0.12896970312032724,room_temp_reverse_0.000nA.CSV,298.0,default
41,-19.685,-0.06759297476977147,-0.12895417295144576,room_temp_reverse_0.000nA.CSV,298.0,default
42,-19.677,-0.0675619523075409,-0.12893834788072356,room_temp_reverse_0.000nA.CSV,298.0,default
43,-19.67,-0.06753030988418905,-0.12892223299880556,room_temp_reverse_0.000nA.CSV,298.0,default
44,-19.662,-0.06749805501257031,-0.12890583341262282,room_temp_reverse_0.000nA.CSV,298.0,default
45,-19.654,-0.06746519528994249,-0.12888915423958489,room_temp_reverse_0.000nA.CSV,298.0,default
46,-19.647000000000002,-0.06743173839281093,-0.1288722006018048,room_temp_reverse_0.000nA.CSV,298.0,default
47,-19.639,-0.06739769207177249,-0.12885497762036585,room_temp_reverse_0.000nA.CSV,298.0,default
48,-19.631,-0.06736306069266107,-0.12883749040963785,room_temp_reverse_0.000nA.CSV,298.0,default
49,-19.624000000000002,-0.06732785557806342,-0.12881974407165145,room_temp_reverse_0.000nA.CSV,298.0,default
50,-19.616,-0.06729208465549691,-0.12880174369053884,room_temp_reverse_0.000nA.CSV,298.0,default
51,-19.608,-0.06725575590596837,-0.1287834943270486,room_temp_reverse_0.000nA.CSV,298.0,default
52,-19.601,-0.06721887735885625,-0.1287650010131424,room_temp_reverse_0.000nA.CSV,298.0,default
53,-19.593,-0.06718145708682526,-0.12874626874668152,room_temp_reverse_0.000nA.CSV,298.0,default
54,-19.585,-0.06714350320077836,-0.12872730248621053,room_temp_reverse_0.000nA.CSV,298.0,default
55,-19.578,-0.06710502384485119,-0.12870810714584563,room_temp_reverse_0.000nA.CSV,298.0,default
56,-19.57,-0.06706602719145364,-0.12868868759027383,room_temp_reverse_0.000nA.CSV,298.0,default
57,-19.562,-0.06702652143636349,-0.12866904028391277,room_temp_reverse_0.000nA.CSV,298.0,default
58,-19.555,-0.0669865147938765,-0.1286491872114961,room_temp_reverse_0.000nA.CSV,298.0,default
59,-19.547,-0.06694601549201772,-0.12862911579410505,room_temp_reverse_0.000nA.CSV,298.0,default
60,-19.539,-0.06690503176781783,-0.1286088478864811,room_temp_reverse_0.000nA.CSV,298.0,default
61,-19.531,-0.06686357186265929,-0.1285883791167411,room_temp_reverse_0.000nA.CSV,298.0,default
62,-19.524,-0.06682164056399222,-0.1285677139586439,room_temp_reverse_0.000nA.CSV,298.0,default
63,-19.516,-0.06677924954748671,-0.12854685680499733,room_temp_reverse_0.000nA.CSV,298.0,default
64,-19.508,-0.06673640702591202,-0.1285258119637846,room_temp_reverse_0.000nA.CSV,298.0,default
65,-19.500999999999998,-0.06669312119845923,-0.1285045836544541,room_temp_reverse_0.000nA.CSV,298.0,default
66,-19.493,-0.06664940024644854,-0.1284831676584193,room_temp_reverse_0.000nA.CSV,298.0,default
67,-19.485,-0.06660525232912747,-0.12846158524103188,room_temp_reverse_0.000nA.CSV,298.0,default
68,-19.477999999999998,-0.06656068557956349,-0.12843982306904572,room_temp_reverse_0.000nA.CSV,298.0,default
69,-19.47,-0.06651570810063356,-0.1284179022094046,room_temp_reverse_0.000nA.CSV,298.0,default
70,-19.462,-0.06647032796111349,-0.1283958091245127,room_temp_reverse_0.000nA.CSV,298.0,default
71,-19.455,-0.06642455319186953,-0.12837355632543704,room_temp_reverse_0.000nA.CSV,298.0,default
72,-19.447,-0.0663783917821546,-0.12835114729289926,room_temp_reverse_0.000nA.CSV,298.0,default
73,-19.439,-0.06633185167601108,-0.12832858539747713,room_temp_reverse_0.000nA.CSV,298.0,default
74,-19.432000000000002,-0.06628494076878254,-0.12830587389744172,room_temp_reverse_0.000nA.CSV,298.0,default
75,-19.424,-0.06623766523454411,-0.12828301593679373,room_temp_reverse_0.000nA.CSV,298.0,default
76,-19.416,-0.06619003285420161,-0.12826001454349825,room_temp_reverse_0.000nA.CSV,298.0,default
77,-19.409000000000002,-0.066142053012318,-0.12823687262792088,room_temp_reverse_0.000nA.CSV,298.0,default
78,-19.401,-0.06609373336266877,-0.1282135929814633,room_temp_reverse_0.000nA.CSV,298.0,default
79,-19.393,-0.06604508149446957,-0.12819017827540077,room_temp_reverse_0.000nA.CSV,298.0,default
80,-19.386,-0.06599610492952915,-0.12816663940587777,room_temp_reverse_0.000nA.CSV,298.0,default
81,-19.378,-0.06594681111951976,-0.12814296156780325,room_temp_reverse_0.000nA.CSV,298.0,default
82,-19.37,-0.06589720744336582,-0.1281191643336303,room_temp_reverse_0.000nA.CSV,298.0,default
83,-19.363,-0.06584730120475114,-0.12809523265118988,room_temp_reverse_0.000nA.CSV,298.0,default
84,-19.355,-0.06579709962974495,-0.1280711858454216,room_temp_reverse_0.000nA.CSV,298.0,default
85,-19.347,-0.06574660986454683,-0.1280470086165943,room_temp_reverse_0.000nA.CSV,298.0,default
86,-19.339000000000002,-0.06569583897335057,-0.12802271169646182,room_temp_reverse_0.000nA.CSV,298.0,default
87,-19.332,-0.06564479393632665,-0.12799829677220542,room_temp_reverse_0.000nA.CSV,298.0,default
88,-19.324,-0.06559347997853125,-0.12797376540957958,room_temp_reverse_0.000nA.CSV,298.0,default
89,-19.316,-0.06554190389948968,-0.1279491190536818,room_temp_reverse_0.000nA.CSV,298.0,default
90,-19.309,-0.0654900740715105,-0.12792435902990565,room_temp_reverse_0.000nA.CSV,298.0,default
91,-19.301,-0.0654379971067303,-0.12789948654507172,room_temp_reverse_0.000nA.CSV,298.0,default
92,-19.293,-0.06538567952482995,-0.12787450268873438,room_temp_reverse_0.000nA.CSV,298.0,default
93,-19.285999999999998,-0.0653331277516738,-0.12784941678061754,room_temp_reverse_0.000nA.CSV,298.0,default
94,-19.278,-0.0652803481180618,-0.12782420352435656,room_temp_reverse_0.000nA.CSV,298.0,default
95,-19.27,-0.06522734685859358,-0.1277988981651012,room_temp_reverse_0.000nA.CSV,298.0,default
96,-19.262999999999998,-0.06517413011064285,-0.12777346683373023,room_temp_reverse_0.000nA.CSV,298.0,default
