Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,1.40E+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.00E+01,0.1,0.072,0.004,-0.004
-2.00E+01,0.1,0.124,0.004,0.014
-2.00E+01,0.1,0.072,0.004,-0.004
-2.00E+01,0.1,0.124,0.006,0.014
-2.00E+01,0.1,0.076,0.004,-0.004
-2.00E+01,0.1,0.124,0.004,0.012
-2.00E+01,0.1,0.072,0.004,-0.004
-1.99E+01,0.1,0.128,0.004,0.014
-1.99E+01,0.1,0.08,0.004,-0.004
-1.99E+01,0.1,0.128,0.004,0.01
-1.99E+01,0.1,0.072,0.004,-0.004
-1.99E+01,0.1,0.124,0.004,0.01
-1.99E+01,0.1,0.08,0.004,-0.004
-1.99E+01,0.1,0.128,0.004,0.012
-1.99E+01,0.1,0.072,0.004,-0.004
-1.99E+01,0.1,0.124,0.004,0.012
-1.99E+01,0.1,0.072,0.004,-0.004
-1.99E+01,0.104,0.128,0.006,0.014
-1.99E+01,0.104,0.076,0.004,-0.012
-1.99E+01,0.104,0.124,0.004,0.016
-1.98E+01,0.104,0.076,0.004,-0.004
-1.98E+01,0.104,0.128,0.004,0.014
-1.98E+01,0.104,0.076,0.006,-0.004
-1.98E+01,0.104,0.128,0.004,0.014
-1.98E+01,0.104,0.072,0.004,-0.004
-1.98E+01,0.104,0.128,0.004,0.01
-1.98E+01,0.104,0.08,0.004,-0.004
-1.98E+01,0.104,0.128,0.004,0.012
-1.98E+01,0.104,0.076,0.004,-0.004
-1.98E+01,0.104,0.128,0.006,0.012
-1.98E+01,0.104,0.084,0.004,-0.002
-1.98E+01,0.104,0.128,0.004,0.012
-1.98E+01,0.104,0.076,0.004,-0.004
-1.97E+01,0.104,0.128,0.004,0.012
-1.97E+01,0.104,0.076,0.004,-0.002
-1.97E+01,0.104,0.128,0.006,0.012
-1.97E+01,0.104,0.076,0.004,-0.004
-1.97E+01,0.104,0.128,0.006,0.014
-1.97E+01,0.104,0.076,0.002,-0.006
-1.97E+01,0.104,0.132,0.004,0.016
-1.97E+01,0.104,0.08,0.006,-0.004
-1.97E+01,0.104,0.128,0.006,0.014
-1.97E+01,0.104,0.076,0.004,-0.002
-1.97E+01,0.108,0.128,0.004,0.014
-1.97E+01,0.108,0.084,0.004,-0.002
-1.97E+01,0.108,0.132,0.004,0.014
-1.96E+01,0.108,0.076,0.004,-0.004
-1.96E+01,0.108,0.132,0.006,0.014
-1.96E+01,0.108,0.084,0.006,-0.002
-1.96E+01,0.108,0.132,0.006,0.012
-1.96E+01,0.108,0.08,0.006,-0.004
-1.96E+01,0.108,0.132,0.004,0.014
-1.96E+01,0.108,0.088,0.006,-0.002
-1.96E+01,0.108,0.132,0.006,0.012
-1.96E+01,0.108,0.088,0.006,-0.002
-1.96E+01,0.108,0.132,0.006,0.012
-1.96E+01,0.108,0.08,0.006,-0.004
-1.96E+01,0.108,0.132,0.002,0.014
-1.96E+01,0.108,0.088,0.006,-0.002
-1.95E+01,0.108,0.136,0.006,0.012
-1.95E+01,0.108,0.08,0.006,-0.008
-1.95E+01,0.108,0.136,0.006,0.018
-1.95E+01,0.108,0.088,0.006,-0.002
-1.95E+01,0.108,0.132,0.006,0.014
-1.95E+01,0.108,0.08,0.004,-0.002
-1.95E+01,0.108,0.132,0.006,0.016
-1.95E+01,0.108,0.088,0.006,-0.002
-1.95E+01,0.108,0.136,0.008,0.012
-1.95E+01,0.112,0.084,0.006,-0.002
-1.95E+01,0.108,0.132,0.006,0.014
-1.95E+01,0.112,0.08,0.004,-0.002
-1.95E+01,0.112,0.136,0.006,0.012
-1.94E+01,0.108,0.088,0.006,-0.002
-1.94E+01,0.112,0.136,0.008,0.012
-1.94E+01,0.112,0.084,0.006,-0.002
-1.94E+01,0.112,0.136,0.006,0.014
-1.94E+01,0.112,0.092,0.006,-0.002
-1.94E+01,0.112,0.136,0.006,0.012
-1.94E+01,0.112,0.084,0.006,-0.004
-1.94E+01,0.112,0.136,0.006,0.016
-1.94E+01,0.112,0.08,0.006,-0.004
-1.94E+01,0.112,0.136,0.006,0.016
-1.94E+01,0.112,0.084,0.006,-0.002
-1.94E+01,0.112,0.136,0.004,0.016
-1.94E+01,0.112,0.084,0.006,-0.002
-1.93E+01,0.112,0.136,0.006,0.014
-1.93E+01,0.112,0.084,0.006,-0.004
-1.93E+01,0.112,0.136,0.006,0.016
-1.93E+01,0.112,0.084,0.006,-0.002
-1.93E+01,0.112,0.136,0.004,0.012
-1.93E+01,0.112,0.088,0.006,-0.002
-1.93E+01,0.112,0.14,0.006,0.012
-1.93E+01,0.112,0.084,0.006,-0.002
-1.93E+01,0.112,0.14,0.006,0.012
-1.93E+01,0.112,0.092,0.006,-0.002
-1.93E+01,0.112,0.14,0.006,0.014
-1.93E+01,0.112,0.084,0.004,-0.002
-1.93E+01,0.112,0.136,0.006,0.014
-1.92E+01,0.112,0.092,0.006,-0.002
-1.92E+01,0.112,0.136,0.006,0.014
-1.92E+01,0.112,0.084,0.006,-0.002
-1.92E+01,0.116,0.14,0.006,0.014
-1.92E+01,0.116,0.088,0.006,-0.01
-1.92E+01,0.116,0.14,0.006,0.018
-1.92E+01,0.116,0.088,0.006,-2.38E-09
-1.92E+01,0.116,0.14,0.008,0.016
-1.92E+01,0.116,0.088,0.006,-0.002
-1.92E+01,0.116,0.14,0.006,0.016
-1.92E+01,0.116,0.096,0.006,-0.002
-1.92E+01,0.116,0.14,0.006,0.012
-1.92E+01,0.116,0.088,0.006,-0.002
-1.91E+01,0.116,0.14,0.006,0.014
-1.91E+01,0.116,0.096,0.006,-0.002
-1.91E+01,0.116,0.14,0.006,0.012
-1.91E+01,0.116,0.088,0.006,-0.004
-1.91E+01,0.116,0.14,0.006,0.012
-1.91E+01,0.116,0.088,0.006,-0.002
-1.91E+01,0.116,0.14,0.006,0.014
-1.91E+01,0.116,0.096,0.006,-0.002
-1.91E+01,0.116,0.14,0.006,0.012
-1.91E+01,0.116,0.088,0.006,-0.002
-1.91E+01,0.116,0.144,0.006,0.014
-1.91E+01,0.116,0.096,0.006,-0.006
-1.91E+01,0.116,0.144,0.006,0.018
-1.90E+01,0.12,0.088,0.008,-0.002
-1.90E+01,0.12,0.144,0.006,0.016
-1.90E+01,0.116,0.096,0.008,-0.002
-1.90E+01,0.12,0.144,0.006,0.016
-1.90E+01,0.12,0.092,0.006,-0.002
-1.90E+01,0.12,0.14,0.006,0.012
-1.90E+01,0.12,0.088,0.006,-2.38E-09
-1.90E+01,0.12,0.144,0.008,0.016
-1.90E+01,0.12,0.092,0.008,-0.002
-1.90E+01,0.12,0.144,0.006,0.014
-1.90E+01,0.12,0.092,0.006,-0.002
-1.90E+01,0.12,0.144,0.006,0.016
-1.90E+01,0.12,0.092,0.006,-2.38E-09
-1.89E+01,0.12,0.144,0.008,0.014
-1.89E+01,0.12,0.092,0.008,-2.38E-09
-1.89E+01,0.12,0.144,0.008,0.016
-1.89E+01,0.12,0.1,0.006,-0.002
-1.89E+01,0.12,0.144,0.006,0.016
-1.89E+01,0.12,0.092,0.006,-0.004
-1.89E+01,0.12,0.144,0.008,0.02
-1.89E+01,0.12,0.096,0.006,-0.006
-1.89E+01,0.12,0.148,0.008,0.016
-1.89E+01,0.12,0.092,0.006,-0.002
-1.89E+01,0.12,0.148,0.006,0.016
-1.89E+01,0.12,0.092,0.006,-0.002
-1.89E+01,0.12,0.144,0.006,0.016
-1.88E+01,0.12,0.096,0.008,-0.002
-1.88E+01,0.12,0.148,0.008,0.014
-1.88E+01,0.12,0.092,0.006,-0.002
-1.88E+01,0.124,0.148,0.006,0.014
