Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.00E+01,-0.04,0.008,-0.85,-0.65
-2.00E+01,-0.04,-0.088,-0.83,-1.05
-2.00E+01,-0.04,-0.004,-0.83,-0.65
-2.00E+01,-0.04,-0.092,-0.83,-1.05
-2.00E+01,-0.04,0.008,-0.85,-0.63
-2.00E+01,-0.04,-0.096,-0.85,-1.07
-2.00E+01,-0.04,2.86E-09,-0.85,-0.63
-1.99E+01,-0.04,-0.088,-0.85,-1.07
-1.99E+01,-0.04,0.008,-0.87,-0.65
-1.99E+01,-0.04,-0.096,-0.87,-1.07
-1.99E+01,-0.04,2.86E-09,-0.85,-0.67
-1.99E+01,-0.04,-0.088,-0.85,-1.03
-1.99E+01,-0.04,0.008,-0.83,-0.65
-1.99E+01,-0.04,-0.092,-0.81,-1.03
-1.99E+01,-0.04,0.004,-0.77,-0.61
-1.99E+01,-0.04,-0.088,-0.75,-0.99
-1.99E+01,-0.04,0.008,-0.73,-0.55
-1.99E+01,-0.04,-0.088,-0.71,-0.93
-1.99E+01,-0.04,0.004,-0.67,-0.49
-1.99E+01,-0.04,-0.092,-0.65,-0.87
-1.98E+01,-0.04,0.008,-0.65,-0.45
-1.98E+01,-0.04,-0.084,-0.63,-0.83
-1.98E+01,-0.04,0.012,-0.61,-0.41
-1.98E+01,-0.04,-0.092,-0.59,-0.81
-1.98E+01,-0.04,0.004,-0.59,-0.39
-1.98E+01,-0.04,-0.088,-0.57,-0.77
-1.98E+01,-0.04,0.008,-0.55,-0.37
-1.98E+01,-0.04,-0.092,-0.55,-0.75
-1.98E+01,-0.04,0.004,-0.53,-0.35
-1.98E+01,-0.04,-0.084,-0.51,-0.71
-1.98E+01,-0.04,0.012,-0.51,-0.33
-1.98E+01,-0.04,-0.092,-0.49,-0.69
-1.98E+01,-0.04,2.86E-09,-0.49,-0.31
-1.97E+01,-0.04,-0.092,-0.47,-0.67
-1.97E+01,-0.04,0.012,-0.47,-0.29
-1.97E+01,-0.04,-0.088,-0.47,-0.65
-1.97E+01,-0.04,0.004,-0.45,-0.27
-1.97E+01,-0.04,-0.092,-0.45,-0.65
-1.97E+01,-0.04,0.008,-0.45,-0.25
-1.97E+01,-0.04,-0.092,-0.45,-0.65
-1.97E+01,-0.04,0.008,-0.45,-0.25
-1.97E+01,-0.04,-0.096,-0.47,-0.65
-1.97E+01,-0.04,0.004,-0.47,-0.27
-1.97E+01,-0.04,-0.088,-0.47,-0.67
-1.97E+01,-0.04,0.012,-0.47,-0.27
-1.97E+01,-0.04,-0.092,-0.47,-0.67
-1.96E+01,-0.04,0.004,-0.47,-0.27
-1.96E+01,-0.04,-0.084,-0.47,-0.67
-1.96E+01,-0.04,0.012,-0.47,-0.27
-1.96E+01,-0.04,-0.092,-0.47,-0.67
-1.96E+01,-0.04,0.004,-0.47,-0.27
-1.96E+01,-0.04,-0.092,-0.45,-0.65
-1.96E+01,-0.04,0.004,-0.45,-0.25
-1.96E+01,-0.04,-0.092,-0.45,-0.65
-1.96E+01,-0.04,0.012,-0.43,-0.25
-1.96E+01,-0.04,-0.092,-0.43,-0.63
-1.96E+01,-0.04,0.004,-0.41,-0.23
-1.96E+01,-0.04,-0.084,-0.41,-0.61
-1.96E+01,-0.04,0.012,-0.39,-0.23
-1.95E+01,-0.04,-0.092,-0.39,-0.59
-1.95E+01,-0.04,0.004,-0.37,-0.19
-1.95E+01,-0.04,-0.084,-0.37,-0.57
-1.95E+01,-0.04,0.012,-0.37,-0.17
-1.95E+01,-0.04,-0.092,-0.37,-0.59
-1.95E+01,-0.04,0.004,-0.37,-0.17
-1.95E+01,-0.04,-0.084,-0.37,-0.57
-1.95E+01,-0.04,0.012,-0.37,-0.17
-1.95E+01,-0.036,-0.092,-0.37,-0.55
-1.95E+01,-0.036,0.012,-0.35,-0.17
-1.95E+01,-0.036,-0.084,-0.35,-0.55
-1.95E+01,-0.036,0.008,-0.35,-0.15
-1.95E+01,-0.036,-0.084,-0.35,-0.55
-1.94E+01,-0.036,0.012,-0.35,-0.15
-1.94E+01,-0.036,-0.092,-0.33,-0.53
-1.94E+01,-0.036,0.008,-0.33,-0.15
-1.94E+01,-0.036,-0.084,-0.33,-0.53
-1.94E+01,-0.036,0.012,-0.33,-0.13
-1.94E+01,-0.036,-0.092,-0.33,-0.53
-1.94E+01,-0.036,0.004,-0.33,-0.13
-1.94E+01,-0.036,-0.084,-0.33,-0.53
-1.94E+01,-0.036,0.012,-0.31,-0.13
-1.94E+01,-0.036,-0.084,-0.31,-0.51
-1.94E+01,-0.036,2.86E-09,-0.31,-0.11
-1.94E+01,-0.036,-0.088,-0.29,-0.49
-1.94E+01,-0.036,0.016,-0.29,-0.09
-1.93E+01,-0.036,-0.088,-0.29,-0.47
-1.93E+01,-0.036,0.008,-0.27,-0.09
-1.93E+01,-0.036,-0.092,-0.27,-0.45
-1.93E+01,-0.036,0.012,-0.25,-0.07
-1.93E+01,-0.036,-0.084,-0.25,-0.43
-1.93E+01,-0.036,0.012,-0.23,-0.05
-1.93E+01,-0.036,-0.088,-0.23,-0.43
-1.93E+01,-0.036,0.008,-0.21,-0.03
-1.93E+01,-0.036,-0.084,-0.21,-0.43
-1.93E+01,-0.036,0.012,-0.21,-0.00999999
-1.93E+01,-0.036,-0.088,-0.19,-0.39
-1.93E+01,-0.036,0.004,-0.19,0.01
-1.93E+01,-0.036,-0.088,-0.17,-0.37
-1.92E+01,-0.036,0.016,-0.17,0.03
-1.92E+01,-0.036,-0.088,-0.17,-0.37
-1.92E+01,-0.036,0.004,-0.17,0.05
-1.92E+01,-0.036,-0.088,-0.15,-0.37
-1.92E+01,-0.036,0.008,-0.17,0.05
-1.92E+01,-0.036,-0.084,-0.15,-0.35
-1.92E+01,-0.036,0.016,-0.15,0.03
-1.92E+01,-0.036,-0.088,-0.15,-0.35
-1.92E+01,-0.036,0.008,-0.17,0.05
-1.92E+01,-0.036,-0.084,-0.17,-0.37
-1.92E+01,-0.036,0.012,-0.17,0.05
-1.92E+01,-0.036,-0.088,-0.19,-0.39
-1.92E+01,-0.036,0.008,-0.19,0.03
-1.91E+01,-0.036,-0.084,-0.21,-0.41
-1.91E+01,-0.036,0.012,-0.21,0.01
-1.91E+01,-0.036,-0.088,-0.23,-0.45
-1.91E+01,-0.036,0.012,-0.27,-0.00999999
-1.91E+01,-0.036,-0.084,-0.31,-0.57
-1.91E+01,-0.036,0.012,-0.37,-0.11
-1.91E+01,-0.036,-0.088,-0.43,-0.65
-1.91E+01,-0.036,0.016,-0.47,-0.23
-1.91E+01,-0.036,-0.088,-0.51,-0.69
-1.91E+01,-0.036,0.004,-0.53,-0.31
-1.91E+01,-0.036,-0.084,-0.55,-0.75
-1.91E+01,-0.036,0.016,-0.57,-0.37
-1.91E+01,-0.036,-0.088,-0.57,-0.77
-1.90E+01,-0.036,0.008,-0.57,-0.37
-1.90E+01,-0.036,-0.08,-0.57,-0.79
-1.90E+01,-0.036,0.02,-0.57,-0.37
-1.90E+01,-0.036,-0.088,-0.57,-0.77
-1.90E+01,-0.036,0.008,-0.57,-0.37
-1.90E+01,-0.036,-0.08,-0.55,-0.77
-1.90E+01,-0.036,0.016,-0.55,-0.37
-1.90E+01,-0.032,-0.088,-0.55,-0.75
-1.90E+01,-0.032,0.012,-0.55,-0.35
-1.90E+01,-0.032,-0.084,-0.53,-0.73
-1.90E+01,-0.032,0.016,-0.53,-0.35
-1.90E+01,-0.032,-0.084,-0.53,-0.73
-1.90E+01,-0.032,0.016,-0.51,-0.33
