Model,DPO2012,,,
Firmware Version,1.56,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,29,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.00E+01,0.964,0.996,0.048,0.064
-1.00E+01,0.964,0.924,0.048,0.032
-9.99E+00,0.964,0.996,0.048,0.064
-9.99E+00,0.964,0.932,0.048,0.04
-9.99E+00,0.964,0.996,0.048,0.056
-9.98E+00,0.964,0.924,0.048,0.04
-9.98E+00,0.964,0.996,0.048,0.064
-9.97E+00,0.964,0.916,0.048,0.04
-9.97E+00,0.964,0.996,0.048,0.064
-9.97E+00,0.964,0.924,0.048,0.04
-9.96E+00,0.964,0.996,0.048,0.064
-9.96E+00,0.964,0.932,0.048,0.04
-9.95E+00,0.964,0.988,0.048,0.064
-9.95E+00,0.964,0.924,0.048,0.04
-9.95E+00,0.964,0.996,0.048,0.064
-9.94E+00,0.964,0.916,0.048,0.04
-9.94E+00,0.964,1.004,0.056,0.064
-9.94E+00,0.964,0.924,0.056,0.04
-9.93E+00,0.964,0.996,0.056,0.064
-9.93E+00,0.964,0.916,0.056,0.04
-9.92E+00,0.964,0.996,0.056,0.064
-9.92E+00,0.964,0.932,0.056,0.04
-9.92E+00,0.964,0.996,0.056,0.064
-9.91E+00,0.964,0.932,0.056,0.04
-9.91E+00,0.964,0.996,0.056,0.064
-9.90E+00,0.964,0.924,0.056,0.048
-9.90E+00,0.964,0.996,0.056,0.072
-9.90E+00,0.964,0.916,0.056,0.04
-9.89E+00,0.964,0.996,0.056,0.072
-9.89E+00,0.964,0.932,0.056,0.04
-9.89E+00,0.964,0.988,0.056,0.072
-9.88E+00,0.964,0.924,0.056,0.048
-9.88E+00,0.964,0.996,0.056,0.072
-9.87E+00,0.964,0.924,0.056,0.048
-9.87E+00,0.964,1.004,0.056,0.072
-9.87E+00,0.964,0.916,0.056,0.048
-9.86E+00,0.964,0.996,0.056,0.072
-9.86E+00,0.964,0.924,0.056,0.048
-9.85E+00,0.964,0.996,0.064,0.072
