Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.05,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.000e+01,0.196,0.17,0.236,0.224
-9.996e+00,0.196,0.218,0.236,0.248
-9.992e+00,0.196,0.17,0.236,0.216
-9.988e+00,0.196,0.22,0.236,0.248
-9.985e+00,0.196,0.176,0.236,0.228
-9.981e+00,0.196,0.214,0.236,0.244
-9.977e+00,0.196,0.176,0.236,0.228
-9.973e+00,0.196,0.218,0.236,0.248
-9.969e+00,0.196,0.17,0.236,0.228
-9.965e+00,0.196,0.218,0.236,0.244
-9.962e+00,0.196,0.178,0.236,0.228
-9.958e+00,0.196,0.212,0.236,0.248
-9.954e+00,0.196,0.17,0.24,0.228
-9.950e+00,0.196,0.22,0.236,0.244
-9.946e+00,0.196,0.176,0.24,0.232
-9.942e+00,0.196,0.218,0.24,0.244
-9.939e+00,0.196,0.176,0.24,0.232
-9.935e+00,0.198,0.218,0.24,0.244
-9.931e+00,0.196,0.172,0.24,0.232
-9.927e+00,0.196,0.218,0.24,0.248
-9.923e+00,0.198,0.17,0.24,0.232
-9.919e+00,0.198,0.22,0.24,0.248
-9.916e+00,0.198,0.176,0.24,0.232
-9.912e+00,0.198,0.218,0.24,0.248
-9.908e+00,0.196,0.176,0.24,0.232
-9.904e+00,0.198,0.214,0.24,0.248
-9.900e+00,0.198,0.176,0.24,0.232
-9.896e+00,0.198,0.22,0.24,0.248
-9.892e+00,0.198,0.17,0.244,0.232
-9.889e+00,0.198,0.22,0.24,0.248
-9.885e+00,0.198,0.178,0.24,0.232
-9.881e+00,0.198,0.214,0.24,0.248
-9.877e+00,0.198,0.172,0.24,0.236
-9.873e+00,0.198,0.222,0.244,0.248
-9.869e+00,0.198,0.178,0.244,0.236
-9.866e+00,0.198,0.22,0.244,0.248
-9.862e+00,0.198,0.172,0.244,0.236
-9.858e+00,0.198,0.22,0.244,0.252
-9.854e+00,0.198,0.172,0.244,0.236
-9.850e+00,0.198,0.22,0.244,0.252
-9.846e+00,0.198,0.17,0.244,0.236
-9.843e+00,0.198,0.222,0.244,0.252
-9.839e+00,0.198,0.178,0.244,0.232
-9.835e+00,0.198,0.22,0.244,0.26
-9.831e+00,0.198,0.178,0.244,0.236
-9.827e+00,0.198,0.214,0.248,0.256
-9.823e+00,0.198,0.172,0.244,0.236
-9.820e+00,0.198,0.22,0.248,0.252
-9.816e+00,0.198,0.17,0.248,0.24
-9.812e+00,0.198,0.222,0.248,0.256
-9.808e+00,0.198,0.18,0.248,0.24
-9.804e+00,0.198,0.216,0.248,0.256
-9.800e+00,0.198,0.176,0.248,0.24
-9.796e+00,0.198,0.22,0.248,0.26
-9.793e+00,0.198,0.174,0.248,0.24
-9.789e+00,0.198,0.22,0.248,0.256
-9.785e+00,0.198,0.172,0.248,0.24
-9.781e+00,0.198,0.224,0.252,0.256
-9.777e+00,0.198,0.172,0.248,0.244
-9.773e+00,0.2,0.222,0.248,0.256
-9.770e+00,0.198,0.178,0.248,0.244
-9.766e+00,0.198,0.22,0.248,0.256
